BR.A	BR.B	BR.C	DR.A	DR.C	DR.D
ofav102908	0	0	2	0	0	3
ofav102945	14	0	2	1	0	2
ofav10299	0	0	1	0	0	0
ofav1030	0	0	0	0	0	0
ofav103059	6	0	3	1	0	2
ofav103063	0	0	0	1	0	0
ofav103086	0	0	0	0	0	0
ofav103099	8	0	1	3	3	1
ofav1031	0	0	0	0	0	0
ofav103117	0	0	0	0	0	0
ofav103125	0	0	0	0	0	1
ofav103158	14	0	9	4	0	4
ofav103160	1	0	0	0	0	0
ofav103198	0	0	0	0	0	1
ofav103227	0	0	0	1	0	0
ofav103258	0	0	0	1	0	0
ofav103263	0	0	0	0	0	0
ofav10328	0	0	0	0	0	1
ofav10329	1	0	24	20	10	42
ofav103293	0	0	3	0	0	0
ofav103346	0	0	1	1	0	1
ofav103373	0	0	0	0	0	0
ofav1034	0	0	5	3	1	1
ofav103401	0	0	0	0	0	0
ofav103413	0	0	0	0	1	0
ofav103425	0	0	0	0	0	0
ofav103459	0	0	0	0	0	0
ofav103460	0	0	0	1	0	0
ofav103471	8	0	0	0	0	0
ofav103473	0	0	0	0	0	0
ofav103483	0	0	0	0	0	0
ofav103488	0	0	0	0	0	0
ofav103504	0	0	2	1	0	1
ofav103525	0	0	1	0	0	1
ofav103558	0	0	0	0	1	0
ofav103567	0	0	0	0	0	1
ofav103609	0	0	0	0	0	0
ofav103616	0	0	1	0	0	0
ofav103676	0	0	0	1	0	0
ofav10368	0	0	1	0	0	3
ofav103693	0	0	0	1	0	1
ofav103697	0	0	0	1	1	0
ofav103721	0	0	0	0	1	0
ofav103724	1	6	4	2	0	3
ofav103747	0	0	1	0	0	0
ofav103754	0	0	0	2	0	0
ofav103791	0	0	0	0	0	0
ofav103830	0	0	3	3	1	1
ofav103844	0	0	0	1	0	0
ofav103854	0	0	0	0	0	1
ofav103859	1	3	4	1	2	7
ofav103907	0	0	0	0	0	0
ofav103936	0	0	0	0	0	0
ofav10397	0	0	0	0	0	0
ofav104029	0	0	2	0	0	0
ofav10404	0	0	0	0	0	0
ofav10407	0	0	0	0	0	1
ofav104078	0	0	2	1	1	0
ofav104081	0	0	2	2	0	0
ofav104099	0	0	1	1	0	3
ofav104111	0	0	0	0	0	0
ofav10412	24	2	7	4	4	20
ofav104147	0	0	0	0	0	0
ofav104193	0	0	3	2	1	0
ofav104207	0	0	0	0	0	0
ofav10422	1	1	4	1	0	2
ofav104266	0	0	0	0	0	1
ofav104271	0	0	0	0	0	0
ofav104300	0	0	1	0	1	0
ofav104306	0	0	0	0	0	0
ofav104321	1	0	11	5	0	2
ofav104343	3	0	0	4	0	0
ofav104350	13	0	17	12	0	4
ofav104417	0	0	0	0	0	0
ofav104422	0	0	0	0	0	1
ofav104463	0	0	0	0	0	0
ofav104475	0	0	0	0	0	0
ofav104495	0	0	0	0	0	0
ofav104510	0	0	0	0	0	0
ofav104582	0	0	0	0	0	0
ofav104601	0	0	0	0	1	0
ofav104610	0	0	0	0	1	0
ofav104652	0	0	2	8	0	0
ofav104662	0	0	0	0	0	0
ofav104694	0	0	0	0	0	0
ofav104722	0	0	0	0	0	0
ofav104723	0	0	0	0	0	0
ofav104725	0	0	0	0	0	0
ofav10475	0	0	1	0	0	0
ofav104780	2	2	7	13	2	11
ofav104789	0	0	1	0	0	0
ofav104824	2	0	1	0	0	1
ofav104831	0	0	2	0	0	0
ofav104842	0	0	0	2	0	2
ofav104855	0	0	0	1	0	0
ofav104876	0	0	0	0	0	0
ofav104882	0	0	0	0	0	0
ofav104887	0	0	0	0	0	0
ofav104949	0	0	0	0	0	0
ofav104960	0	0	0	0	0	0
ofav104964	0	0	0	0	0	0
ofav10498	2	1	1	1	0	1
ofav104988	0	0	1	0	0	0
ofav105	0	0	1	0	0	0
ofav105006	2	1	2	4	0	1
ofav105023	0	0	0	1	0	1
ofav105028	0	0	0	1	0	0
ofav105029	0	0	2	4	3	2
ofav105043	0	0	0	0	2	0
ofav105080	0	1	3	2	1	3
ofav105093	0	0	0	0	0	0
ofav105095	0	0	1	0	0	0
ofav105121	0	0	7	2	2	2
ofav105149	0	0	0	0	0	0
ofav105152	0	0	3	2	2	2
ofav1052	0	0	0	0	0	0
ofav105218	8	0	7	12	1	9
ofav105227	0	1	0	0	0	0
ofav105237	0	0	1	1	1	0
ofav105283	0	1	0	1	0	0
ofav105303	0	0	0	0	0	0
ofav105305	0	0	0	0	0	0
ofav105323	0	0	0	0	0	0
ofav105336	0	0	0	0	0	1
ofav105350	0	0	0	0	0	0
ofav10540	1	0	6	12	2	8
ofav105408	6	0	0	1	2	2
ofav105414	20	9	14	5	1	10
ofav105426	0	0	0	0	0	0
ofav105450	0	0	1	0	3	0
ofav10546	0	0	0	0	0	0
ofav105462	0	0	0	0	0	0
ofav105545	0	0	1	0	0	1
ofav105547	0	0	0	0	0	0
ofav105561	0	0	0	0	0	0
ofav105575	0	0	0	0	0	0
ofav10559	2	1	0	5	2	2
ofav105598	0	0	0	0	0	0
ofav1056	0	0	1	0	0	0
ofav105603	0	0	0	0	0	0
ofav105612	0	0	0	0	0	0
ofav10562	0	0	0	0	0	0
ofav105667	0	0	0	0	0	1
ofav105682	0	0	0	0	0	0
ofav105705	0	0	0	0	0	0
ofav105721	0	1	7	10	2	6
ofav105725	0	0	1	0	0	1
ofav105735	0	0	0	0	0	1
ofav105764	1	0	2	1	0	2
ofav105782	3	0	2	4	0	0
ofav105817	0	0	0	0	0	0
ofav10583	0	0	2	2	0	1
ofav105854	0	0	0	0	0	1
ofav105869	0	0	0	0	0	0
ofav105870	0	0	16	7	1	5
ofav105903	0	0	1	0	0	0
ofav105951	0	0	0	0	0	0
ofav105955	0	0	1	0	0	0
ofav10598	0	0	0	0	0	0
ofav106018	0	0	0	1	0	0
ofav106055	0	0	1	1	0	0
ofav10606	0	0	0	0	0	0
ofav106072	0	0	0	0	1	0
ofav106082	0	0	0	2	5	1
ofav106128	0	0	0	0	0	0
ofav106136	0	0	1	0	0	0
ofav106148	0	0	0	0	0	0
ofav106154	0	0	0	0	0	0
ofav106191	0	0	0	0	0	0
ofav106201	0	0	0	1	1	2
ofav106204	0	0	0	0	0	0
ofav106247	0	0	0	1	0	1
ofav106283	5	0	4	9	1	9
ofav106286	0	0	1	0	0	0
ofav1063	0	0	0	0	0	0
ofav10633	0	0	2	0	0	3
ofav106343	0	0	0	0	0	0
ofav106352	12	0	1	5	0	5
ofav106354	0	0	0	1	0	0
ofav106364	0	0	0	1	0	1
ofav106367	0	0	0	0	0	0
ofav106374	0	0	0	0	1	0
ofav106375	1	1	1	1	0	0
ofav10638	0	2	0	8	4	7
ofav106380	0	0	0	0	0	0
