BR.A	BR.B	BR.C	DR.A	DR.C	DR.D
ofav28179	0	1	1	1	1	0
ofav28186	3	0	1	7	2	3
ofav28192	0	0	0	1	0	0
ofav28193	0	2	0	0	0	0
ofav28198	0	0	1	0	0	2
ofav2820	0	0	0	0	0	0
ofav28201	0	0	0	0	1	0
ofav28204	0	0	0	1	0	0
ofav28206	5	0	3	4	0	1
ofav28216	0	0	1	0	1	0
ofav28222	11	1	17	14	5	11
ofav28241	0	0	0	0	0	0
ofav28254	0	0	0	0	2	0
ofav28255	0	0	0	0	0	0
ofav28259	0	0	2	0	1	0
ofav28264	0	0	1	0	0	0
ofav28266	0	0	0	1	0	0
ofav28271	0	0	1	0	0	0
ofav28273	0	8	11	5	8	12
ofav28288	0	0	4	2	0	0
ofav28303	0	0	0	0	0	1
ofav28307	0	0	0	0	0	0
ofav28308	0	0	0	0	0	0
ofav2832	0	0	0	0	0	0
ofav28327	3	0	3	3	3	2
ofav28330	0	0	0	0	0	1
ofav28336	0	0	0	0	0	0
ofav28340	0	0	1	0	0	0
ofav28342	0	0	1	3	2	1
ofav28346	0	0	0	0	0	0
ofav28347	0	0	0	0	0	1
ofav28353	0	0	2	4	1	1
ofav2836	0	0	3	0	2	2
ofav28361	1	0	0	0	1	0
ofav28365	0	0	0	0	0	0
ofav28375	0	0	1	1	0	0
ofav28390	3	10	7	9	5	3
ofav28393	0	0	0	1	2	1
ofav28395	0	0	0	0	0	0
ofav28396	0	0	1	0	0	0
ofav28408	0	0	0	0	0	0
ofav2841	0	0	0	0	0	0
ofav28411	0	1	1	0	1	5
ofav28414	0	0	0	0	0	0
ofav28415	0	0	1	0	0	0
ofav28416	0	0	0	0	0	0
ofav28417	0	0	0	0	0	0
ofav28419	0	0	0	0	0	0
ofav28423	1	0	5	6	8	9
ofav28434	0	0	1	0	0	1
ofav28437	0	0	0	1	0	1
ofav28439	4	0	2	4	4	4
ofav28442	17	0	11	7	2	14
ofav28447	0	0	1	0	0	0
ofav28454	0	1	0	0	0	0
ofav28459	0	0	2	1	0	0
ofav28463	0	0	1	1	0	2
ofav28465	0	0	0	0	0	0
ofav28476	1	1	4	5	4	1
ofav28477	0	0	0	0	0	0
ofav28479	0	0	0	0	0	1
ofav28485	0	0	0	0	0	0
ofav28489	0	0	0	0	1	0
ofav28490	3	1	20	21	10	33
ofav285	0	0	1	0	0	0
ofav28502	1	0	1	5	7	4
ofav2851	0	0	1	0	0	0
ofav28520	0	0	2	2	1	3
ofav28522	1	0	1	6	0	5
ofav28527	0	0	1	0	0	0
ofav28529	0	0	0	0	0	0
ofav28532	0	0	1	1	3	1
ofav28536	0	0	1	0	0	1
ofav28539	0	0	3	0	0	1
ofav2854	0	0	0	0	0	0
ofav28540	0	0	1	0	0	0
ofav28548	28	1	7	20	11	4
ofav28554	4	0	3	3	0	6
ofav28556	0	0	1	0	0	0
ofav28558	40	1	35	27	1	34
ofav28561	2	6	9	7	1	8
ofav28564	8	2	8	15	0	11
ofav28572	0	0	0	0	0	0
ofav28594	0	0	0	0	0	1
ofav28605	0	0	2	0	0	0
ofav2861	2	0	0	0	0	1
ofav28611	0	0	2	4	0	1
ofav28612	0	4	4	5	0	2
ofav28619	0	0	1	0	0	0
ofav28630	0	0	0	0	0	0
ofav28631	3	1	5	1	0	7
ofav28641	2	2	5	3	2	4
ofav28644	2	0	2	3	1	2
ofav28645	0	2	5	3	0	0
ofav28646	0	0	2	2	0	0
ofav28655	0	0	0	0	0	0
ofav28657	1	4	3	4	2	5
ofav28660	0	0	7	12	0	12
ofav28661	0	0	0	0	0	0
ofav28662	1	1	3	4	3	1
ofav28668	0	0	0	0	0	0
ofav28674	0	0	0	0	1	0
ofav28678	1	3	0	2	1	3
ofav28682	11	1	0	1	0	4
ofav28686	0	0	0	0	0	1
ofav28687	0	0	2	2	0	1
ofav28689	1	4	1	2	0	0
ofav28692	0	0	0	0	0	0
ofav28700	1	0	8	5	2	4
ofav28729	0	0	0	2	0	0
ofav28734	0	0	0	0	0	0
ofav28739	0	0	0	0	0	1
ofav28749	0	0	0	0	0	2
ofav28753	0	0	0	1	0	0
ofav28756	0	0	0	1	0	1
ofav28761	1	0	0	0	0	0
ofav28767	0	0	1	0	0	0
ofav28770	0	0	2	0	2	2
ofav28778	0	0	3	2	0	1
ofav28779	0	0	0	0	0	0
ofav28782	0	0	0	0	0	0
ofav28785	0	0	3	0	0	5
ofav28786	0	0	0	0	0	0
ofav28811	0	0	0	1	2	1
ofav28819	0	0	1	0	0	0
ofav2882	0	0	0	0	0	0
ofav28820	0	0	4	0	0	3
ofav28824	8	1	7	4	1	2
ofav28832	0	1	0	0	0	0
ofav28833	0	0	0	0	0	0
ofav28834	11	1	3	16	4	16
ofav28842	10	2	2	2	0	2
ofav28843	1	0	1	1	0	3
ofav28846	0	0	0	0	0	2
ofav28847	8	0	1	0	0	0
ofav28852	0	0	2	1	1	1
ofav28865	0	0	1	0	0	0
ofav28871	2	2	2	2	0	1
ofav28875	0	0	1	0	0	0
ofav28879	0	0	0	0	0	0
ofav28893	0	0	0	0	0	0
ofav28915	0	0	0	0	1	0
ofav28926	0	2	3	0	0	1
ofav28944	5	1	7	3	3	8
ofav28947	0	0	0	0	0	0
ofav28949	20	1	22	19	9	22
ofav28950	0	1	5	9	5	4
ofav28956	1	1	3	3	0	6
ofav28960	0	0	0	0	0	0
ofav28964	0	0	4	2	1	2
ofav2897	2	0	0	1	0	0
ofav28970	0	2	5	5	0	3
ofav28972	0	0	0	3	0	0
ofav28973	0	0	0	1	0	0
ofav28981	0	1	1	2	0	8
ofav28993	0	0	0	2	0	0
ofav2900	0	0	0	0	0	0
ofav29015	0	0	2	0	1	0
ofav29021	7	0	4	7	4	4
ofav29026	1	0	0	0	0	0
ofav29027	0	0	4	1	0	1
ofav29032	7	0	3	12	3	15
ofav29034	5	0	6	5	2	6
ofav29036	3	0	3	5	0	4
ofav29048	0	0	1	0	0	0
ofav29055	3	0	1	1	0	1
ofav29060	1	0	1	0	0	0
ofav29065	1	0	6	2	2	5
ofav29069	0	0	0	0	0	0
ofav29081	0	1	0	0	1	3
ofav29083	0	0	0	0	0	0
ofav29085	0	0	0	0	0	0
ofav29092	1	0	1	1	0	0
ofav29094	3	1	3	3	1	2
ofav29111	0	0	0	1	0	6
ofav29112	0	0	0	0	2	0
ofav29118	1	0	1	0	1	1
ofav29124	0	0	5	0	0	1
ofav29128	0	0	0	0	0	0
ofav29129	0	0	0	0	0	0
ofav29134	0	0	1	2	3	2
ofav29141	2	0	4	3	1	4
ofav29142	0	0	2	0	0	3
ofav29153	1	1	17	6	2	11
ofav29158	9	0	1	0	0	1
ofav29160	3	0	5	0	0	5
ofav2917	1	0	3	2	0	2
ofav29172	0	0	1	1	0	1
ofav29177	0	1	0	0	0	0
ofav29179	0	1	0	1	0	0
ofav29193	0	0	0	1	0	0
ofav29203	0	0	2	0	0	0
ofav29215	0	0	0	0	0	0
ofav29230	0	0	0	0	0	0
ofav29236	0	0	0	0	0	0
ofav29244	0	0	0	0	0	0
ofav29250	0	0	0	0	0	1
ofav29265	5	1	5	2	0	4
ofav29270	10	0	6	6	2	13
ofav29276	0	0	1	0	0	0
ofav29286	0	0	1	1	0	2
ofav29298	0	0	1	0	0	0
ofav29306	4	0	0	4	1	6
ofav29308	0	0	2	3	0	2
ofav29310	3	1	7	3	2	6
ofav29315	0	0	0	0	0	0
ofav29317	0	2	0	1	0	1
ofav29326	11	0	3	2	0	0
ofav29327	0	1	3	1	0	6
ofav29333	0	0	4	5	2	3
ofav29334	0	1	5	1	0	1
ofav29352	0	0	0	0	0	1
ofav29356	0	0	0	0	0	1
ofav29367	0	0	3	1	0	2
ofav29370	0	0	0	0	0	0
ofav29372	0	0	0	0	0	0
ofav29375	0	0	0	1	0	2
ofav29377	11	2	33	35	15	23
ofav29379	0	1	8	3	0	4
ofav29380	5	25	20	17	5	15
ofav29381	0	0	0	0	0	0
ofav29385	1	0	4	6	0	5
ofav29386	0	0	0	0	0	0
ofav29388	0	0	2	0	0	1
ofav29397	0	0	0	0	0	0
ofav29406	0	0	7	1	0	2
ofav29414	5	1	9	8	2	16
ofav29416	0	0	0	0	0	0
ofav29425	0	0	2	2	0	2
ofav29432	0	0	2	4	1	1
ofav2944	0	0	0	0	0	0
ofav29442	0	0	1	0	0	0
ofav29451	0	0	4	2	0	0
ofav29476	0	0	3	4	1	3
ofav29482	0	0	0	0	0	0
ofav29492	0	0	6	6	0	4
ofav29494	0	0	0	0	0	0
ofav29495	0	1	0	0	0	1
ofav29501	0	0	2	0	0	1
ofav29505	0	1	4	2	0	0
ofav29506	0	1	0	0	0	0
ofav29511	2	3	1	1	1	3
ofav29512	2	0	6	1	1	0
ofav29526	0	0	0	0	0	0
ofav2953	0	0	0	0	0	0
ofav29534	0	0	0	0	0	0
ofav29538	309	3	142	62	11	46
ofav29549	0	0	0	1	0	0
ofav29556	0	1	1	0	0	0
ofav29572	0	0	1	0	0	0
ofav29573	0	0	0	0	0	0
ofav29580	13	0	2	10	1	9
ofav29590	3	0	1	0	0	2
ofav29606	0	12	5	12	4	9
ofav29610	0	0	0	0	0	0
ofav29621	0	0	0	0	0	0
ofav29622	0	0	5	2	0	1
ofav29633	17	0	4	4	0	3
ofav29634	0	0	0	0	0	0
ofav29659	4	1	1	0	0	0
ofav29665	0	0	0	0	0	0
ofav29675	5	0	1	0	1	2
ofav29678	13	5	14	29	2	21
ofav29679	2	2	1	5	0	5
ofav2968	0	0	0	0	0	0
ofav29693	8	1	19	10	4	16
ofav29705	3	1	2	2	0	2
ofav29709	0	0	1	1	0	0
ofav29712	0	0	0	1	0	3
ofav29716	0	0	0	3	0	1
ofav29719	6	4	16	13	2	35
ofav29720	7	5	1	2	1	1
ofav2973	0	0	0	1	0	1
ofav29731	1	3	4	0	3	2
ofav29743	3	1	4	2	1	5
ofav29747	0	0	0	0	0	0
ofav29749	0	0	0	0	0	0
ofav29753	0	1	0	2	0	0
ofav29756	0	0	0	0	0	0
ofav29758	0	0	0	0	0	0
ofav29760	0	0	0	0	0	0
ofav29762	0	0	1	0	0	0
ofav29779	38	1	27	37	12	24
ofav29782	0	0	0	0	0	0
ofav29786	0	0	1	0	0	0
ofav29789	1	0	3	0	0	1
ofav29798	2	0	1	2	0	0
ofav298	0	0	0	0	0	2
ofav29804	0	0	0	0	0	0
ofav29839	4	0	7	3	1	10
ofav2984	0	0	0	0	0	0
ofav29846	2	3	10	6	1	3
ofav29853	0	0	0	0	2	0
ofav29870	5	0	3	10	4	5
ofav29871	1	0	7	5	8	9
ofav29874	2	0	7	15	3	8
ofav29876	0	0	1	0	0	1
ofav29877	0	0	0	1	0	0
ofav29885	3	0	7	5	2	3
ofav29889	0	0	0	0	0	0
ofav29892	3	2	1	2	0	3
ofav29898	0	0	0	0	0	0
ofav29903	1	0	1	4	0	2
ofav29912	0	0	0	0	0	0
ofav29917	0	0	0	0	0	1
ofav29936	0	0	0	0	2	0
ofav29937	45	1	17	17	5	33
ofav29938	0	0	1	1	3	1
ofav29941	0	4	0	0	0	0
ofav29951	20	4	5	8	0	2
ofav29953	0	0	8	9	13	24
ofav29963	0	0	0	0	0	0
ofav29967	0	0	0	0	0	0
ofav29969	0	0	0	0	0	0
ofav29988	0	1	1	1	0	1
ofav29989	0	0	0	0	0	0
ofav29993	0	0	0	1	0	0
ofav29996	0	0	1	2	0	1
ofav300	0	0	0	0	0	0
ofav30005	0	0	0	0	0	0
ofav30007	0	0	1	1	0	1
ofav30008	0	0	0	0	0	0
ofav30014	1	0	0	1	0	0
ofav30030	0	0	0	0	0	1
ofav30045	4	1	2	3	1	3
ofav30049	5	0	4	5	1	3
ofav30053	2	0	1	0	0	1
ofav30062	1	0	3	1	0	0
ofav30065	0	0	0	0	0	0
ofav30067	13	2	5	18	5	11
ofav30095	0	0	3	2	0	4
ofav30105	6	0	4	0	2	2
ofav30110	0	0	0	0	0	0
ofav30114	2	9	3	2	0	7
ofav30117	0	0	2	3	1	0
ofav30119	0	1	2	0	3	3
ofav30123	0	0	3	3	0	0
ofav30128	0	0	0	0	0	0
ofav30134	0	0	0	0	0	1
ofav30137	2	0	5	9	0	8
ofav30138	0	0	0	1	0	0
ofav3015	0	0	0	0	0	0
ofav30150	0	0	2	0	0	0
ofav30157	3	0	1	10	0	3
ofav30166	0	0	0	0	0	0
ofav30167	1	0	0	0	1	2
ofav30169	0	0	5	5	0	17
ofav30173	0	0	2	0	0	0
ofav30177	0	0	0	0	0	0
ofav30179	3	3	7	2	0	5
ofav30187	0	0	0	0	0	1
ofav30188	4	0	1	2	1	1
ofav30204	4	3	8	6	5	9
ofav30206	0	0	1	1	0	0
ofav30211	0	0	0	0	0	0
ofav30212	14	11	9	14	1	8
ofav30214	0	0	0	1	0	1
ofav30228	0	3	2	3	0	1
ofav30230	0	0	0	0	0	0
ofav30233	0	0	0	0	0	0
ofav30245	0	0	0	0	0	0
ofav30250	0	0	0	0	0	0
ofav30265	0	0	3	1	0	3
ofav30268	0	0	2	3	0	2
ofav30278	0	0	0	2	0	0
ofav30279	3	0	6	10	7	14
ofav30285	0	0	0	0	0	0
ofav30290	0	0	0	0	2	1
ofav30294	0	0	0	0	0	0
ofav30297	0	0	0	0	0	0
ofav30299	3	4	1	1	0	1
ofav3030	0	1	0	0	0	0
ofav30302	7	1	13	17	0	15
ofav30304	0	0	0	1	0	1
ofav30320	0	0	0	0	0	0
ofav30321	0	3	7	4	0	9
ofav30322	0	0	1	0	0	0
ofav30329	5	0	6	9	1	3
ofav30332	0	0	0	0	0	0
ofav30333	0	0	0	1	1	1
ofav30344	0	0	0	0	0	0
ofav30353	0	0	1	1	0	2
ofav30360	0	0	0	1	1	1
ofav30361	0	0	0	0	1	0
ofav30362	0	0	0	0	0	0
ofav30366	0	5	1	0	0	0
ofav30369	8	1	3	3	0	2
ofav30374	5	0	1	0	0	0
ofav30379	0	0	0	0	0	0
ofav30380	0	2	0	0	0	0
ofav30381	1	0	1	0	0	0
ofav30401	3	0	0	0	0	1
ofav30411	0	0	0	1	0	1
ofav30412	0	0	3	0	0	0
ofav30429	0	0	4	0	0	0
ofav30431	0	0	1	0	0	0
ofav30432	0	0	1	0	0	0
ofav30436	0	0	0	0	0	0
ofav3044	0	1	0	1	0	2
ofav30440	0	0	0	0	0	0
ofav30443	0	0	0	0	1	2
ofav30453	0	0	11	9	3	11
ofav30466	6	0	10	11	2	9
ofav30467	1	1	10	21	4	12
ofav30477	0	0	0	0	0	0
ofav30486	0	0	0	0	0	0
ofav30492	2	3	14	0	0	2
ofav30497	2	0	3	2	0	2
ofav30499	0	0	0	0	0	1
ofav30503	0	0	1	0	0	0
ofav30519	8	0	3	11	2	2
ofav30529	7	2	8	4	0	9
ofav3053	0	0	0	0	1	1
ofav30531	1	3	4	3	7	2
ofav30537	5	0	3	11	1	4
ofav30539	0	0	1	1	2	1
ofav30541	1	0	0	0	1	0
ofav30545	0	0	1	1	0	0
ofav30547	1	1	0	0	0	0
ofav30549	0	0	1	2	0	0
ofav30556	0	0	0	0	0	0
ofav30606	0	0	0	0	0	0
ofav30613	0	0	1	0	1	0
ofav30614	0	0	0	3	0	0
ofav30615	0	0	7	13	4	2
ofav30621	1	0	6	1	0	5
ofav30627	0	0	0	0	0	0
ofav30629	0	2	0	0	0	0
ofav30637	0	0	2	2	0	0
ofav30638	19	2	17	16	1	9
ofav3064	15	1	4	5	3	3
ofav30642	0	0	0	0	0	0
ofav30646	0	0	0	0	1	0
ofav3065	0	0	0	0	0	0
ofav30653	1	2	5	11	1	4
ofav30667	0	0	0	0	0	0
ofav3067	0	0	0	0	0	0
ofav30673	0	0	0	0	0	0
ofav30676	0	0	2	2	0	4
ofav30677	4	1	2	7	1	9
ofav30685	0	0	1	3	0	3
ofav30699	0	0	2	1	0	1
ofav30701	0	3	0	0	0	0
ofav30709	0	0	0	0	0	1
ofav30716	0	0	0	0	0	0
ofav30720	1	0	1	3	0	1
ofav30722	0	0	5	2	4	7
ofav30723	6	0	1	11	0	5
ofav30726	1	0	0	0	0	0
ofav30741	5	2	5	2	0	1
ofav30748	0	0	0	0	0	0
ofav30750	0	1	0	0	0	0
ofav30751	0	0	0	0	0	0
ofav30752	19	2	6	5	5	7
ofav30754	0	4	6	4	0	4
ofav30759	0	0	1	0	0	0
ofav30766	3	0	3	24	2	14
ofav30769	0	0	1	0	0	0
ofav30773	0	1	1	4	1	6
ofav30776	0	0	0	0	0	0
ofav30777	3	1	6	4	0	3
ofav30780	0	0	4	1	0	2
ofav30783	0	0	8	6	3	3
ofav30785	0	0	1	1	0	0
ofav30787	5	6	5	1	3	5
ofav30793	0	0	0	0	0	0
ofav30794	0	0	0	0	0	0
ofav30799	0	0	0	0	0	2
ofav30817	0	0	0	0	3	2
ofav30818	0	0	1	0	2	2
ofav30821	0	0	1	0	0	1
ofav30829	0	0	4	0	2	1
ofav30834	21	7	11	25	6	22
ofav30839	0	0	0	0	0	0
ofav30840	21	0	27	21	13	18
ofav30845	1	0	6	5	2	3
ofav30851	0	1	1	1	0	0
ofav30852	0	0	11	10	2	7
ofav30853	0	0	0	0	1	0
ofav30856	0	0	3	1	1	2
ofav30861	6	1	8	5	3	6
ofav30866	0	0	0	1	0	0
ofav30872	0	0	1	0	1	0
ofav30877	7	0	8	7	1	9
ofav30879	2	0	7	5	3	5
ofav30883	0	0	2	0	0	0
ofav30888	0	0	0	0	0	0
ofav30890	2	2	3	4	1	5
ofav30898	13	2	20	6	0	11
ofav30900	0	0	5	1	0	0
ofav30902	3	2	5	8	3	1
ofav30904	0	0	0	0	1	1
ofav30917	0	0	1	0	0	0
ofav30918	0	4	3	4	0	10
ofav30934	0	0	3	0	0	5
ofav30945	2	0	2	2	1	3
ofav30946	0	0	0	0	0	0
ofav30957	0	2	1	1	0	0
ofav3096	0	4	4	1	4	2
ofav30963	7	0	2	1	0	0
ofav30964	0	0	0	1	0	0
ofav30980	0	1	5	4	0	2
ofav30985	1	0	5	4	4	10
ofav31	0	1	2	0	0	0
ofav31007	12	0	1	2	1	1
ofav31013	1	0	1	2	0	0
ofav31014	0	0	0	0	0	0
ofav31016	0	0	0	0	0	0
ofav31030	1	0	0	2	1	1
ofav31036	0	0	0	0	0	0
ofav31037	0	0	0	0	0	0
ofav31038	0	0	0	0	0	0
ofav31042	0	0	0	0	0	0
ofav31043	0	0	0	0	0	0
ofav31047	3	0	1	1	0	0
ofav31050	2	0	0	0	0	0
ofav31051	0	0	1	1	0	0
ofav31063	3	0	4	5	1	2
ofav31064	0	0	1	6	0	4
ofav31065	0	0	1	0	0	0
ofav31068	0	0	2	2	0	2
ofav31080	0	0	0	0	0	0
ofav31082	2	0	1	5	0	3
ofav31088	2	1	8	14	1	12
ofav31095	0	0	0	2	1	0
ofav31103	6	1	10	5	0	5
ofav31105	9	7	13	14	3	11
ofav31116	0	0	0	1	0	1
ofav31128	3	0	5	1	0	6
ofav31129	0	0	0	0	0	3
ofav31136	0	3	1	1	0	1
ofav31144	0	0	0	0	0	0
ofav31152	0	0	4	2	0	4
ofav31155	0	2	3	4	0	2
ofav31159	5	1	10	1	1	3
ofav31160	2	0	5	6	2	7
ofav31164	0	0	0	0	0	0
ofav31165	1	0	1	1	0	0
ofav31172	0	0	0	1	0	2
ofav31180	0	0	0	0	0	0
ofav31182	1	0	5	3	0	2
ofav31186	8	1	3	8	1	7
ofav31188	1	1	7	8	1	5
ofav31190	0	0	0	0	0	0
ofav31211	1	0	7	7	4	3
ofav31227	0	0	0	1	0	0
ofav31230	0	1	1	0	7	2
ofav31245	0	0	0	1	0	0
ofav31249	0	0	0	0	3	0
ofav31255	1	0	4	1	0	4
ofav31257	1	0	7	2	1	8
ofav31269	0	0	2	0	0	0
ofav31273	0	0	1	4	2	1
ofav31279	14	5	5	10	3	10
ofav31283	0	0	0	0	0	0
ofav31285	0	1	4	1	1	1
ofav3129	0	0	0	0	0	0
ofav31290	0	0	0	0	0	0
ofav31294	0	0	2	0	0	4
ofav31305	5	0	6	0	0	0
ofav31309	6	0	10	2	0	1
ofav31314	0	0	2	0	2	4
ofav31323	0	0	2	0	0	0
ofav31324	8	0	3	3	1	12
ofav31328	0	0	0	1	0	0
ofav31333	3	0	1	0	0	2
ofav31337	0	0	1	4	0	2
ofav31344	0	0	0	2	0	0
ofav31345	6	0	7	5	3	4
ofav31348	0	0	0	0	0	1
ofav31349	0	0	0	0	3	1
ofav31350	1	2	2	4	1	7
ofav31357	0	0	1	0	0	0
ofav31378	0	0	0	0	0	0
ofav31384	4	0	2	2	0	0
ofav31400	1	0	1	1	0	2
ofav31405	0	0	1	0	0	1
ofav31411	13	2	3	10	0	2
ofav31414	2	1	6	6	1	13
ofav31422	0	0	0	0	0	0
ofav31425	5	1	6	6	0	5
ofav31427	0	0	0	0	0	0
ofav31428	0	3	0	0	0	0
ofav31439	0	0	17	18	1	5
ofav31442	0	0	0	0	0	0
ofav31457	0	0	0	0	0	0
ofav31467	0	0	1	1	1	0
ofav31481	0	0	0	0	0	0
ofav31482	0	0	1	1	0	1
ofav31492	0	0	0	1	0	0
ofav31521	0	0	2	0	0	0
ofav31533	29	0	12	9	4	11
ofav31540	0	0	0	0	1	0
ofav31548	2	2	3	6	3	5
ofav31549	1	2	2	4	0	1
ofav31559	0	0	2	1	0	0
ofav3156	0	0	2	5	0	1
ofav31560	0	1	0	0	1	1
ofav31561	0	0	0	0	0	0
ofav31562	2	0	0	1	2	2
ofav31563	2	0	11	15	10	21
ofav31564	0	0	0	0	0	0
ofav31571	2	0	0	3	0	0
ofav31581	9	7	13	5	2	11
ofav31588	0	0	0	0	0	2
ofav31591	2	0	1	0	0	1
ofav31592	0	0	0	2	0	0
ofav31593	0	2	8	20	3	20
ofav31596	1	0	9	6	1	9
ofav31598	0	0	0	0	0	0
ofav31600	20	16	19	27	9	22
ofav31606	0	0	1	1	0	0
ofav31608	0	0	0	0	0	0
ofav31617	0	0	1	1	1	1
ofav31626	1	0	5	1	0	7
ofav31630	0	0	0	0	0	0
ofav31631	0	0	0	0	0	0
ofav31633	9	1	5	4	0	3
ofav31635	1	4	9	7	2	8
ofav31638	0	0	1	0	0	1
ofav31641	0	0	2	2	2	2
ofav31646	4	0	10	6	3	5
ofav31647	6	0	14	4	0	6
ofav31652	1	1	0	4	2	5
ofav31660	0	0	1	2	0	0
ofav31662	0	0	1	2	0	0
ofav31670	0	1	4	1	0	1
ofav31679	11	0	1	1	0	5
ofav31686	4	5	4	8	8	6
ofav31693	0	0	0	0	0	0
ofav31704	0	2	0	1	0	1
ofav31706	2	0	3	5	0	2
ofav31707	0	0	1	0	2	4
ofav31708	0	0	0	0	0	0
ofav31710	0	0	0	1	1	2
ofav3172	1	1	5	4	0	2
ofav31730	3	0	3	1	0	1
ofav31732	0	0	1	0	0	1
ofav31734	9	4	15	13	10	8
ofav31739	6	0	20	7	3	17
ofav31743	0	0	0	0	0	0
ofav31746	1	10	6	2	0	6
ofav31750	12	3	6	6	4	6
ofav31754	0	0	0	0	0	0
ofav31763	0	0	0	2	0	1
ofav31766	1	0	9	7	0	3
ofav31767	0	1	2	4	0	5
ofav31768	0	0	0	0	0	0
ofav31769	4	0	0	0	0	0
ofav3177	3	0	5	1	0	5
ofav31772	0	0	1	0	0	0
ofav31773	10	0	6	3	1	5
ofav31782	14	1	19	22	5	24
ofav31783	0	0	0	0	0	1
ofav31784	3	0	4	2	0	0
ofav31785	0	1	2	0	0	0
ofav31787	9	0	12	15	4	13
ofav31789	5	0	4	3	8	0
ofav31796	0	2	0	1	0	0
ofav3180	1	0	2	2	0	1
ofav31801	1	0	0	0	0	1
ofav31802	18	8	3	2	1	1
ofav31803	0	0	3	7	0	2
ofav31811	0	1	9	18	1	12
ofav31812	0	0	0	0	0	0
ofav31817	2	0	6	4	2	2
ofav31824	0	0	0	0	0	0
ofav31827	0	0	0	0	0	0
ofav31828	0	0	1	5	0	6
ofav31832	0	0	1	2	0	2
ofav31834	0	0	2	1	0	0
ofav31837	20	12	19	21	5	15
ofav3184	0	0	0	0	0	0
ofav31840	0	0	4	0	0	0
ofav31842	0	0	0	0	0	0
ofav31843	24	6	13	10	5	9
ofav31852	0	0	1	0	0	2
ofav31855	0	3	5	9	2	8
ofav31856	0	0	1	1	0	1
ofav31860	0	0	0	0	0	0
ofav31863	0	0	0	1	0	0
ofav31867	0	3	3	3	2	4
ofav31877	1	0	3	1	0	0
ofav31881	1	0	6	1	0	7
ofav31882	0	0	0	0	0	0
ofav31885	1	0	2	0	0	1
ofav31886	0	0	0	0	0	0
ofav31887	0	0	0	0	0	0
ofav31891	0	0	1	0	4	0
ofav31896	0	2	3	1	1	6
ofav31899	0	0	2	2	0	0
ofav31901	0	0	2	1	3	1
ofav31904	5	0	1	1	0	1
ofav31906	2	0	7	2	1	2
ofav31919	907	1170	2007	1428	721	1240
ofav31922	0	0	1	0	0	1
ofav31925	1	5	2	15	0	5
ofav31926	0	0	0	0	0	0
ofav31933	0	3	9	20	5	15
ofav31936	0	0	2	1	1	0
ofav3194	0	0	0	0	0	0
ofav31945	0	1	6	0	2	3
ofav31946	5	6	32	28	2	18
ofav31955	4	0	6	5	0	5
ofav31968	0	0	10	9	6	10
ofav31977	1	0	4	3	1	3
ofav31986	2	3	4	5	5	7
ofav31988	3	0	0	3	2	0
ofav31989	0	0	0	0	0	0
ofav31990	1	0	4	6	1	3
ofav31991	6	8	36	67	15	62
ofav31993	0	0	0	0	0	0
ofav31997	0	0	0	0	0	0
ofav31998	4	3	1	2	0	2
ofav31999	0	1	2	0	0	0
ofav32	0	0	0	0	0	1
ofav32005	0	0	0	0	0	0
ofav32008	0	0	0	0	0	0
ofav32009	0	0	0	1	0	0
ofav32010	9	0	0	1	1	0
ofav32011	1	0	0	0	0	0
ofav32012	11	2	32	40	15	43
ofav32018	0	0	1	4	0	2
ofav32020	7	4	6	7	1	8
ofav32023	0	0	0	0	0	0
ofav32028	39	13	40	77	15	81
ofav32029	0	0	0	0	0	1
ofav32032	0	0	3	1	0	1
ofav32036	0	0	3	0	0	4
ofav32041	0	0	0	0	0	0
ofav32042	0	0	0	2	0	2
ofav32046	0	0	4	1	0	2
ofav32048	11	0	6	5	1	9
ofav32049	3	4	6	11	1	10
ofav32059	0	0	0	0	0	0
ofav32062	0	0	2	0	0	0
ofav32066	16	9	19	51	10	46
ofav32071	0	0	0	0	1	1
ofav32074	0	1	1	0	0	0
ofav32079	0	0	5	0	0	3
ofav32089	0	0	1	0	0	0
ofav32096	0	3	7	5	2	7
ofav32099	0	1	0	1	0	0
ofav32101	0	0	0	0	0	0
ofav32107	0	2	1	0	0	0
ofav32109	0	0	5	0	0	0
ofav3211	0	0	1	1	0	2
ofav32110	9	8	3	3	3	11
ofav32111	1	0	6	7	0	6
ofav32116	0	0	0	0	0	2
ofav32125	0	0	0	0	0	1
ofav32130	0	0	0	0	0	0
ofav32131	0	0	0	3	0	1
ofav32132	0	1	0	3	2	1
ofav32133	0	0	13	7	2	2
ofav32138	0	0	1	0	0	0
ofav32142	1	0	3	8	3	8
ofav32146	16	0	5	5	1	5
ofav32161	0	0	4	3	4	6
ofav32163	0	0	3	1	0	1
ofav32166	14	0	8	2	1	5
ofav32167	0	0	3	3	0	3
ofav32174	6	5	36	19	31	51
ofav3218	0	0	0	1	0	0
ofav32180	10	2	17	29	5	39
ofav32181	6	6	41	11	1	8
ofav32188	0	0	0	0	0	0
ofav32190	5	0	9	8	7	31
ofav32192	0	4	1	0	0	0
ofav32195	0	0	0	0	0	0
ofav32199	7	0	3	3	3	0
ofav32207	0	0	0	0	0	0
ofav32210	0	0	0	0	0	0
ofav32214	0	1	0	0	0	1
ofav32215	0	3	8	7	0	1
ofav32217	5	0	1	0	0	0
