baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
ofav0	41.6359774126689	0.162906776951976	0.955760688171687	0.170447245809625	0.864658418919566	0.961334555974277
ofav100027	0.768030900179482	-1.30172642833113	2.71035815145987	-0.480278382261027	0.631029458361348	NA
ofav100029	0.167457628309577	0.344961416000823	3.92571114445221	0.0878723378535685	0.929978142730904	NA
ofav10004	0.0688779418890099	-2.45901504909529	3.991076184851	-0.616128316074001	0.537809834863851	NA
ofav100049	1.99794714862079	-2.38758119011894	1.94108794694319	-1.23002216044815	0.218688806522927	NA
ofav10007	0.034438970944505	-2.25268432147763	3.9926664284573	-0.564205490702119	0.572614291503488	NA
ofav100071	0.0670052817422918	-1.23770637938609	3.9494339324771	-0.313388298309828	0.753985673394504	NA
ofav100084	2.72904316098756	-3.83275499448356	1.95806299322824	-1.95742170080265	0.0502979091727218	NA
ofav100107	15.9605103964557	0.712459877505886	0.970221847310819	0.734326772253814	0.462749604840517	0.856462522184856
ofav100112	1.69544913469713	0.178721318316308	2.13166683468019	0.0838411122266776	0.933182760242562	NA
ofav100161	0.0325663107977868	-0.960108351303259	3.95197375106227	-0.242944010203809	0.808048771461263	NA
ofav100196	0.268051060113893	-2.17821321782802	3.94744245635069	-0.551803665769386	0.58108287547751	NA
ofav100233	0.0688779418890099	-2.45901504909529	3.991076184851	-0.616128316074001	0.537809834863851	NA
ofav100240	0.550852516730324	0.230100531017623	3.22232186604343	0.0714083013998086	0.94307280291628	NA
ofav100297	0.034438970944505	-2.25268432147763	3.9926664284573	-0.564205490702119	0.572614291503488	NA
ofav100312	0.23817829720058	0.67854341982546	3.92195933929616	0.173011334673151	0.862642518198385	NA
ofav100343	0.377776907980592	0.453463139005387	3.7485134667056	0.120971457894725	0.903713642435892	NA
ofav100354	0.41040308506783	-1.04949654502892	3.92003417289986	-0.267726376541394	0.788909945191375	NA
ofav100376	0.0269782635023581	-1.06695952159305	3.95530632712931	-0.269753954143783	0.787349549197328	NA
ofav10039	0.975185110562937	0.0320948079101386	2.62588767729014	0.0122224603084545	0.990248130428383	NA
ofav100393	0.937141904562025	-0.788526680988145	2.6402380053358	-0.298657423836249	0.765201445959096	NA
ofav100415	0.32943836141603	-0.625798677943994	3.91961426404749	-0.15965823057746	0.873150305898019	NA
ofav100419	12.4819185438931	-0.274957571425956	0.998376676784961	-0.275404642175129	0.783005377999272	0.949739453725068
ofav100429	0.308078078353826	-2.15792252704095	3.94370220345383	-0.547181915802638	0.584253759043711	NA
ofav100459	0.034438970944505	-2.25268432147763	3.9926664284573	-0.564205490702119	0.572614291503488	NA
ofav100468	2.16781917445164	-0.276462829060011	1.83938430316187	-0.150301831207745	0.880526488307976	NA
ofav100479	0.0269782635023581	-1.06695952159305	3.95530632712931	-0.269753954143783	0.787349549197328	NA
