,B,B,B,D,D,D,pval.BD,padj.BD
ofav0,2.12796037019961,4.12415329967151,6.31506680941761,4.46160216262864,5.96223459418529,5.35100729451051,0.864658418919566,0.961334555974277
ofav100027,0.35820681570458,-0.050793091710558,-0.464682055125836,-0.245485126459363,-0.134374739817377,-0.66062017625018,0.631029458361348,NA
ofav100029,-0.796916094990093,-0.695797961910065,-0.949713429397799,-0.89593403236827,-0.726216207381203,-0.748397189702828,0.929978142730904,NA
ofav10004,-1.14669905591687,-1.09997562066932,-1.16806096979233,-1.22633759912602,-1.11403091302218,-1.22644635297055,0.537809834863851,NA
ofav100049,2.02207259625164,0.479647677663944,0.28838519805691,-0.237135761894343,0.360246756752387,0.131755930073312,0.218688806522927,NA
ofav10007,-1.31492607793034,-1.29051195427849,-1.34220480505448,-1.35876045518451,-1.29785618407768,-1.35879060374918,0.572614291503488,NA
ofav100071,-1.14718758990915,-1.10162768514933,-1.19575710308146,-1.19731507489466,-1.11533296554181,-1.2247539377747,0.753985673394504,NA
ofav100084,-0.275221782659625,2.13916065522689,0.303563436222081,-1.46118830488302,0.0237294333416838,-0.763712058689955,0.0502979091727218,NA
ofav100107,2.52447566627049,3.22238432625348,4.38925848219826,3.58442218419127,3.58284181527145,4.99317631229171,0.462749604840517,0.856462522184856
ofav100112,0.457905741416894,0.836737258112207,1.56026137127536,1.34034628532432,0.722777578319447,1.28773784830286,0.933182760242562,NA
ofav100161,-1.32546577604273,-1.30232250877436,-1.36715279243215,-1.35225026187691,-1.30928444095537,-1.36718902230441,0.808048771461263,NA
ofav100196,-0.615534575473889,-0.469986891019335,-0.390057627474272,-0.829504127207615,-0.513770385222007,-0.766592226114573,0.58108287547751,NA
ofav100233,-1.14669905591687,-1.09997562066932,-1.16806096979233,-1.22633759912602,-1.11403091302218,-1.22644635297055,0.537809834863851,NA
ofav100240,-0.116575281051688,0.116492162407592,0.0412523548716577,0.0219211819409425,0.0463810706525241,0.126744027573182,0.94307280291628,NA
