	BR-A-fav_uptake_S1_L007_R1_001.fastq.trim.sam.counts	BR-B-fav_uptake_S2_L007_R1_001.fastq.trim.sam.counts	BR-C-fav_uptake_S3_L007_R1_001.fastq.trim.sam.counts	BR-D-fav_uptake_S4_L007_R1_001.fastq.trim.sam.counts	CR-A-fav_uptake_S5_L007_R1_001.fastq.trim.sam.counts	CR-B-fav_uptake_S6_L007_R1_001.fastq.trim.sam.counts	CR-C-fav_uptake_S7_L007_R1_001.fastq.trim.sam.counts	DR-A-fav_uptake_S8_L007_R1_001.fastq.trim.sam.counts	DR-B-fav_uptake_S9_L007_R1_001.fastq.trim.sam.counts	DR-C-fav_uptake_S10_L007_R1_001.fastq.trim.sam.counts	DR-D-fav_uptake_S11_L007_R1_001.fastq.trim.sam.counts	
ofav101471	0	0	0	0	0	0	0	0	0	0	1	
ofav101479	0	0	1	0	0	0	0	0	0	2	4	
ofav1015	0	0	6	0	0	0	0	1	0	0	17	
ofav101539	0	0	11	0	0	0	0	2	0	0	8	
ofav10155	5	4	105	0	0	0	0	112	0	4	121	
ofav101568	0	1	14	0	0	0	0	1	0	0	11	
ofav10158	205	111	730	2	3	7	0	923	2	117	917	
ofav10162	62	18	377	1	0	3	0	966	1	28	638	
ofav101648	0	0	3	0	0	0	0	5	0	0	7	
ofav101649	0	1	7	0	0	0	0	8	0	1	13	
ofav101651	0	0	1	0	0	0	0	0	0	0	0	
ofav101657	0	0	4	0	0	0	0	11	0	0	6	
ofav101717	0	0	6	0	0	0	0	6	0	0	1	
ofav101745	0	0	0	0	0	0	0	0	0	0	1	
ofav101748	0	2	12	0	0	0	0	13	0	2	44	
ofav101770	0	0	7	0	0	0	0	3	0	0	5	
ofav101812	0	0	4	0	0	0	0	0	0	0	1	
ofav101843	1	1	13	0	0	0	0	5	0	0	12	
ofav101865	0	1	3	0	0	0	0	2	0	0	1	
ofav101878	0	0	3	0	0	0	0	3	0	0	2	
ofav101880	0	0	0	0	0	0	0	0	0	0	1	
ofav10189	1	3	91	0	0	0	0	62	0	3	72	
ofav101890	0	0	10	0	0	0	0	11	0	0	5	
ofav101904	0	0	13	0	0	0	0	6	0	0	2	
ofav10192	15	2	300	0	1	1	0	143	1	3	522	
ofav101948	0	0	0	0	0	0	0	2	0	0	2	
ofav10195	0	0	1	0	0	0	0	0	0	0	0	
ofav101962	0	0	2	0	0	0	0	2	0	0	0	
ofav101965	0	2	2	0	0	0	0	0	0	0	7	
ofav101974	0	0	6	0	0	0	0	2	0	0	2	
ofav102004	0	0	0	0	0	0	0	1	0	0	0	
ofav102026	0	0	0	0	0	0	0	1	0	0	3	
