	BR-A-fav_uptake_S1_L007_R1_001.fastq.trim.sam.counts	BR-B-fav_uptake_S2_L007_R1_001.fastq.trim.sam.counts	BR-C-fav_uptake_S3_L007_R1_001.fastq.trim.sam.counts	BR-D-fav_uptake_S4_L007_R1_001.fastq.trim.sam.counts	CR-A-fav_uptake_S5_L007_R1_001.fastq.trim.sam.counts	CR-B-fav_uptake_S6_L007_R1_001.fastq.trim.sam.counts	CR-C-fav_uptake_S7_L007_R1_001.fastq.trim.sam.counts	DR-A-fav_uptake_S8_L007_R1_001.fastq.trim.sam.counts	DR-B-fav_uptake_S9_L007_R1_001.fastq.trim.sam.counts	DR-C-fav_uptake_S10_L007_R1_001.fastq.trim.sam.counts	DR-D-fav_uptake_S11_L007_R1_001.fastq.trim.sam.counts	
ofav26744	0	0	2	0	0	0	0	2	0	0	1	
ofav26750	0	2	27	0	0	0	0	14	0	2	17	
ofav26751	0	0	181	0	0	0	0	2	0	0	13	
ofav26762	0	0	1	0	0	0	0	2	0	0	3	
ofav26775	0	0	0	0	0	0	0	2	0	0	1	
ofav26779	0	1	63	0	0	0	0	58	1	4	76	
ofav26781	0	0	11	0	0	1	0	12	0	0	17	
ofav26788	2	0	13	0	0	0	0	10	0	0	14	
ofav2679	0	0	0	0	0	0	0	1	0	0	3	
ofav26798	4	0	39	0	0	0	0	39	0	0	46	
ofav26806	0	0	0	0	0	0	0	0	0	0	2	
ofav26807	0	0	9	0	0	0	0	43	0	0	12	
ofav26815	0	0	88	0	0	0	0	88	0	3	74	
ofav26818	0	0	0	0	0	0	0	8	0	0	1	
ofav26827	0	1	56	0	0	0	0	52	0	0	77	
ofav26833	0	0	2	0	0	0	0	1	0	0	0	
ofav26834	2	1	8	0	0	0	0	35	0	2	13	
ofav26836	0	0	3	0	0	0	0	1	0	0	3	
ofav26839	4	8	39	0	0	0	0	20	0	1	46	
ofav26842	0	0	25	0	0	0	0	17	0	1	29	
ofav26844	0	0	1	0	0	0	0	0	0	0	0	
ofav26845	2	1	8	0	0	0	0	6	0	0	9	
ofav26847	0	0	24	0	0	0	0	10	0	0	6	
ofav26849	13	2	129	0	1	0	0	204	0	5	113	
ofav26858	0	0	0	0	0	0	0	1	0	0	0	
ofav26865	12	0	107	0	0	0	0	108	0	4	81	
ofav26872	0	0	4	0	0	0	0	2	0	0	1	
ofav26877	0	0	1	0	0	0	0	0	0	0	0	
ofav26881	5	0	40	0	0	0	0	32	0	0	42	
ofav26882	0	0	4	0	0	0	0	3	0	0	1	
ofav26883	0	0	1	0	0	0	0	0	0	0	1	
ofav26888	0	0	1	0	0	0	0	0	0	0	0	
ofav26890	8	4	83	0	0	0	0	63	0	1	45	
ofav26897	1	0	106	0	0	0	0	133	0	1	178	
ofav26908	0	0	1	0	0	0	0	2	0	0	0	
ofav26911	0	0	12	0	0	0	0	6	0	0	11	
ofav26912	2	0	24	0	0	0	0	39	0	1	23	
ofav26934	0	0	4	0	0	0	0	5	0	0	15	
ofav2694	0	0	2	0	0	0	0	0	0	0	1	
ofav26946	0	0	7	0	0	0	0	11	0	0	2	
ofav26960	0	0	11	0	0	0	0	17	0	0	6	
ofav26961	0	0	9	0	0	0	0	5	0	0	5	
ofav26968	0	0	14	0	0	0	0	0	0	0	7	
ofav26977	1	0	10	0	0	0	0	16	0	5	6	
ofav26979	0	2	29	0	0	0	0	44	0	0	61	
ofav26982	0	0	4	0	0	0	0	5	0	0	12	
ofav26983	0	0	2	0	0	0	0	8	0	1	1	
ofav26990	0	0	3	0	0	0	0	1	0	0	0	
ofav26998	0	0	3	0	0	0	0	6	0	0	2	
ofav27005	4	0	9	0	0	0	0	1	0	0	4	
ofav27018	0	0	0	0	0	0	0	0	0	0	6	
ofav27020	0	2	24	0	0	0	0	10	0	0	10	
ofav27022	0	0	0	0	0	0	0	0	0	0	2	
ofav27027	0	0	15	0	0	0	0	27	0	2	39	
ofav27030	1	0	18	0	0	0	0	27	0	0	19	
ofav27034	5	0	24	0	0	0	0	14	0	0	15	
ofav2704	0	0	8	0	0	0	0	1	0	0	1	
ofav27040	0	0	0	0	0	0	0	0	0	0	1	
ofav27041	0	0	1	0	0	0	0	0	0	0	1	
ofav27046	0	0	11	0	0	0	0	4	0	0	3	
ofav27048	0	0	25	0	0	0	0	14	1	0	21	
ofav27050	3	0	7	0	0	0	0	5	0	0	13	
ofav27060	0	0	22	0	0	0	0	39	0	0	21	
ofav27067	0	0	2	0	0	0	0	3	0	0	3	
ofav27072	0	0	71	0	0	0	0	100	0	4	160	
ofav27074	0	0	1	0	0	0	0	0	0	0	0	
ofav27076	0	0	46	0	0	0	0	83	0	5	91	
ofav27079	0	0	0	0	0	0	0	5	0	0	5	
ofav27084	0	0	11	0	0	0	0	15	0	0	18	
ofav27086	0	0	3	0	0	0	0	0	0	0	1	
ofav27090	1	0	0	0	0	0	0	0	0	0	13	
ofav27097	0	2	17	0	0	0	0	11	0	0	30	
ofav27102	0	0	1	0	0	0	0	0	0	0	0	
ofav27112	0	0	1	0	0	0	0	6	0	0	10	
ofav27114	0	0	0	0	0	0	0	0	0	0	1	
ofav27139	0	0	2	0	0	0	0	2	0	0	5	
ofav27142	1	0	22	1	0	0	0	16	0	2	30	
ofav27161	0	0	1	0	0	0	0	1	0	0	0	
ofav27176	0	0	10	0	0	0	0	12	0	0	30	
ofav27185	0	0	57	0	0	0	0	50	0	2	164	
ofav27189	0	1	5	0	0	0	0	2	0	0	7	
ofav27190	0	0	1	0	0	0	0	0	0	0	0	
ofav27193	0	0	0	0	0	0	0	1	0	0	0	
ofav27201	0	0	5	0	0	0	0	3	0	0	0	
ofav27202	0	1	21	0	0	1	0	30	0	0	50	
ofav27209	70	3	349	1	0	1	0	503	2	9	179	
ofav27218	0	0	2	0	0	0	0	1	0	0	6	
ofav27219	0	0	1	0	0	0	0	0	0	0	0	
ofav2722	6	1	35	0	0	0	0	18	1	0	41	
ofav27224	3	1	64	0	0	0	0	33	0	4	69	
ofav27229	1	0	38	0	0	0	0	29	1	3	23	
ofav27234	0	0	11	0	0	0	0	3	0	2	13	
ofav27238	0	0	0	0	0	0	0	0	0	1	1	
ofav27240	0	0	12	0	0	0	0	9	0	0	29	
ofav27259	0	0	7	0	0	0	0	7	0	1	12	
ofav27263	0	0	6	0	0	0	0	7	0	1	14	
ofav27264	0	0	1	0	0	0	0	0	0	0	0	
ofav27268	0	0	0	0	0	0	0	5	0	0	2	
ofav27269	0	0	0	0	0	0	0	1	0	0	0	
ofav27270	5	0	25	0	0	0	0	81	0	1	75	
ofav273	0	0	1	0	0	0	0	2	0	1	5	
ofav27304	0	0	0	0	0	0	0	0	0	0	1	
ofav27305	0	0	0	0	0	0	0	1	0	0	0	
ofav27309	1	0	12	0	0	0	0	10	0	0	4	
ofav27312	0	0	8	0	0	0	0	14	0	0	8	
ofav27314	0	0	3	0	0	0	0	0	0	0	2	
ofav27339	0	1	41	0	0	0	0	30	0	0	16	
ofav27341	0	0	3	0	0	0	0	0	0	0	5	
ofav27342	0	0	11	0	0	0	0	12	0	0	16	
ofav27353	2	3	10	0	0	0	0	12	0	0	24	
ofav27354	7	3	13	0	0	0	0	22	0	0	26	
ofav27365	0	0	9	0	0	0	0	6	0	0	3	
ofav27366	0	0	6	0	0	0	0	6	0	0	5	
ofav27367	0	0	2	0	0	0	0	5	0	0	3	
ofav27374	0	0	4	0	0	0	0	8	0	1	8	
ofav27382	1	0	33	0	0	0	0	13	0	0	31	
ofav27389	26	2	187	0	0	0	0	147	0	2	133	
ofav27390	0	0	0	0	0	0	0	0	0	0	2	
ofav27394	0	1	12	0	0	0	0	17	0	4	26	
ofav27398	2	1	115	0	0	0	0	109	0	0	88	
ofav27424	1	0	0	0	0	0	0	0	0	0	0	
ofav27435	0	0	5	0	0	0	0	1	0	0	8	
ofav27436	0	0	39	0	0	0	0	18	0	0	33	
ofav27439	0	0	8	0	0	0	0	8	0	0	9	
ofav27445	2	0	39	0	0	0	0	28	0	2	42	
ofav27456	0	0	11	0	0	0	0	6	0	1	12	
ofav27457	0	0	3	0	0	0	0	1	0	0	2	
ofav27463	0	2	57	0	0	0	0	7	0	0	29	
ofav27471	2	2	54	0	0	0	0	92	0	1	121	
ofav27483	17	5	233	0	0	1	0	247	0	2	166	
ofav27489	0	1	35	0	0	0	0	65	0	1	78	
ofav27491	4	4	90	0	0	0	0	60	1	1	79	
ofav27492	0	1	181	0	0	0	0	410	0	13	479	
ofav27505	0	0	8	0	0	0	0	9	0	1	7	
ofav27524	6	3	92	0	0	0	0	53	0	1	72	
ofav27525	0	2	2	0	0	0	0	5	0	0	1	
ofav27534	0	0	24	0	0	0	0	27	0	0	17	
ofav27537	0	0	2	0	0	0	0	1	0	0	0	
ofav27539	0	1	26	0	0	0	0	5	0	0	25	
ofav27540	1	0	47	0	0	0	0	12	0	0	15	
ofav27542	0	2	35	0	0	0	0	29	0	1	34	
ofav27546	2	0	0	0	0	0	0	0	0	0	0	
ofav27564	0	0	21	0	0	0	0	30	0	0	31	
ofav27567	0	0	3	0	0	0	0	0	0	0	1	
ofav27569	0	1	33	0	0	0	0	35	0	4	56	
ofav27571	0	0	12	0	0	0	0	4	0	1	16	
ofav27589	0	1	16	0	0	0	0	9	0	0	10	
ofav27590	0	0	7	0	0	0	0	11	0	1	12	
ofav27594	0	0	4	0	0	0	0	3	0	0	18	
ofav27595	0	0	5	0	0	0	0	7	0	4	1	
ofav27600	11	1	369	1	0	0	0	197	0	6	176	
ofav27603	0	1	0	0	0	0	0	0	0	0	0	
ofav27606	0	0	1	0	0	0	0	0	0	0	0	
ofav27610	0	0	5	0	0	0	0	1	0	0	2	
ofav27613	3	0	9	0	0	0	0	11	0	0	18	
ofav27618	0	0	11	0	0	0	0	7	0	0	5	
ofav27624	13	5	194	0	0	0	0	125	0	0	266	
ofav27629	3	0	12	0	0	0	0	37	0	0	13	
ofav27641	0	0	6	0	0	0	0	7	0	0	8	
ofav27644	0	0	2	0	0	0	0	0	0	0	2	
ofav27646	4	2	4	0	0	0	0	5	0	0	8	
ofav27655	1	0	10	0	0	0	0	2	0	0	5	
ofav27659	0	0	8	0	0	0	0	0	0	0	3	
ofav27669	0	0	3	0	0	0	0	9	0	1	5	
ofav27687	0	0	4	0	0	0	0	5	0	1	10	
ofav27690	1	0	2	0	0	0	0	2	0	0	2	
ofav27693	32	0	198	0	0	0	0	252	0	1	153	
ofav27694	0	0	6	0	0	0	0	3	0	0	3	
ofav27699	1	0	32	0	0	0	0	35	0	0	28	
ofav27700	0	0	1	0	0	0	0	3	0	0	0	
ofav27705	3	2	51	0	0	0	0	119	0	11	242	
ofav27711	0	0	0	0	0	0	0	0	0	0	5	
ofav27719	0	0	0	0	0	0	0	0	0	0	1	
ofav27722	0	0	5	0	0	0	0	7	0	0	3	
ofav27742	2	0	26	0	0	0	0	36	0	1	86	
ofav27754	0	0	0	0	0	0	0	2	0	0	1	
ofav27757	0	0	3	0	0	0	0	4	0	0	1	
ofav2776	0	0	2	0	0	0	0	0	0	0	2	
ofav27766	0	0	3	0	0	0	0	4	0	0	1	
ofav27767	2	0	34	0	0	0	0	53	0	0	51	
ofav27772	3	0	10	0	0	0	0	5	0	0	9	
ofav27776	0	0	2	0	0	0	0	2	0	0	2	
ofav27778	0	0	3	0	0	0	0	1	0	0	2	
ofav2779	0	0	0	0	0	0	0	1	0	0	5	
ofav27803	0	0	5	0	0	0	0	2	0	0	3	
ofav27809	0	0	7	0	0	0	0	3	0	0	8	
ofav27811	0	0	1	0	0	0	0	0	0	0	1	
ofav27814	5	1	103	0	0	0	0	75	1	2	55	
ofav27821	0	0	0	0	0	0	0	6	0	0	2	
ofav27832	0	0	5	0	0	0	0	3	0	0	10	
ofav27837	0	0	16	0	0	0	0	12	0	0	12	
ofav27840	0	0	4	0	0	0	0	12	0	0	6	
ofav27846	0	0	43	0	0	0	0	39	0	1	60	
ofav27861	5	1	128	0	0	0	0	58	0	0	59	
ofav27882	1	0	9	0	0	0	0	10	0	1	9	
ofav27885	0	0	29	0	0	0	0	29	0	1	46	
ofav27890	0	0	2	0	0	0	0	3	0	0	9	
ofav27893	0	0	3	0	0	0	0	0	0	0	1	
ofav27896	0	0	3	0	0	0	0	2	0	0	12	
ofav27899	0	0	0	0	0	0	0	0	0	0	6	
ofav27910	1	0	15	0	0	0	0	39	0	2	10	
ofav27912	0	0	9	0	0	0	0	2	0	0	6	
ofav27926	3	0	23	0	0	0	0	19	0	0	14	
ofav27930	0	0	9	0	0	0	0	9	0	1	17	
ofav27934	0	0	1	0	0	0	0	0	0	0	0	
ofav27937	1	0	2	0	0	0	0	2	0	0	1	
ofav27938	0	0	0	0	0	0	0	0	0	0	2	
ofav2794	0	0	2	0	0	0	0	0	0	0	0	
ofav27943	0	0	14	0	0	0	0	14	0	0	12	
ofav27951	0	0	3	0	0	0	0	0	0	0	4	
ofav27952	0	0	14	0	0	0	0	14	0	2	37	
ofav27964	2	0	29	0	0	0	0	40	0	1	42	
ofav27967	4	0	64	0	0	0	0	60	0	0	106	
ofav27984	1	6	20	0	0	0	0	17	0	1	19	
ofav27985	2	0	15	0	0	0	0	8	0	0	12	
ofav27988	14	2	117	0	0	0	0	163	0	5	146	
ofav27995	0	0	0	0	0	0	0	1	0	0	0	
ofav27996	0	0	18	0	0	0	0	17	0	0	16	
ofav27999	0	0	13	0	0	0	0	3	0	0	7	
ofav28004	0	0	0	0	0	0	0	0	0	0	1	
ofav28007	1	1	0	0	0	0	0	4	0	0	8	
ofav28014	6	2	64	0	0	0	0	55	0	2	90	
ofav28016	0	0	0	0	0	0	0	0	0	0	3	
ofav28021	0	0	0	0	0	0	0	1	0	0	3	
ofav28047	0	0	2	0	0	0	0	0	0	0	7	
ofav28050	0	0	1	0	0	0	0	1	0	0	0	
ofav28051	0	0	1	0	0	0	0	0	0	0	1	
ofav28071	0	0	1	0	0	0	0	1	0	0	1	
ofav28090	0	0	14	0	0	0	0	9	0	0	2	
ofav28092	0	0	1	0	0	0	0	1	0	0	0	
ofav2810	0	0	0	0	0	0	0	1	0	0	1	
ofav28100	0	0	2	0	0	0	0	2	0	0	5	
ofav28105	0	2	21	0	0	0	0	61	0	2	44	
ofav28109	0	0	15	0	0	0	0	9	0	0	11	
ofav28112	2	10	135	0	0	0	0	124	0	0	78	
ofav28114	0	0	4	0	0	0	0	9	0	0	2	
ofav28116	7	0	14	0	0	0	0	18	0	2	38	
ofav28118	12	5	106	1	0	0	0	89	3	6	116	
ofav2813	1	1	15	0	0	0	0	25	0	1	22	
ofav28135	0	0	13	0	0	0	0	22	0	0	12	
ofav28140	0	0	39	0	0	0	0	72	0	0	68	
ofav28149	0	0	2	0	1	0	0	4	0	0	6	
ofav28153	0	1	31	0	0	0	0	41	0	0	38	
ofav28155	0	0	1	0	0	0	0	1	0	0	3	
ofav28156	1	1	45	0	0	0	0	32	2	3	54	
ofav28157	0	0	7	0	0	0	0	19	0	0	9	
ofav28160	6	3	83	0	0	0	0	105	0	1	100	
ofav28173	0	1	4	0	0	0	0	5	0	0	3	
ofav28179	0	1	8	0	0	0	0	3	0	1	7	
ofav28186	3	0	29	0	0	0	0	50	0	2	60	
ofav28192	0	0	5	0	0	0	0	6	0	0	3	
ofav28193	0	2	0	0	0	0	0	0	0	0	0	
ofav28198	0	0	1	0	0	0	0	0	0	0	2	
ofav2820	0	0	0	0	0	0	0	1	0	0	0	
ofav28201	0	0	0	0	0	0	0	0	0	1	1	
ofav28204	0	0	0	0	0	0	0	1	0	0	0	
ofav28206	5	0	32	0	0	0	0	20	0	0	23	
ofav28216	0	0	8	0	0	0	0	2	0	1	6	
ofav28222	11	1	110	0	0	0	0	125	1	5	91	
ofav28241	0	0	1	0	0	0	0	1	0	0	0	
ofav28254	0	0	0	0	0	0	0	2	0	2	1	
ofav28255	0	0	5	0	0	0	0	1	0	0	2	
ofav28259	0	0	9	0	0	0	0	1	0	1	0	
ofav28264	0	0	6	0	0	0	0	5	0	0	5	
ofav28266	0	0	2	0	0	0	0	4	0	0	6	
ofav28271	0	0	3	0	0	0	0	3	0	0	9	
ofav28273	0	8	91	0	0	0	0	61	0	8	120	
ofav28288	0	0	21	0	0	0	0	8	0	0	16	
ofav28303	0	0	6	0	0	0	0	8	0	0	16	
ofav28307	0	0	0	0	0	0	0	0	0	0	2	
ofav28308	0	0	6	0	0	0	0	4	0	0	6	
ofav2832	0	0	1	0	0	0	0	2	0	0	7	
ofav28327	3	0	39	0	0	0	0	23	0	3	28	
ofav28330	0	0	2	0	0	0	0	4	0	0	4	
ofav28336	0	0	0	0	0	0	0	0	0	0	1	
ofav28340	0	0	2	0	0	0	0	0	0	0	2	
ofav28342	0	0	12	0	0	0	0	22	0	2	24	
ofav28346	0	0	0	0	0	0	0	0	0	0	3	
ofav28347	0	0	4	0	0	0	0	2	0	0	2	
ofav28353	0	0	18	0	0	0	0	31	0	1	32	
ofav2836	0	0	20	0	0	0	0	5	0	2	11	
ofav28361	1	0	3	0	0	0	0	7	0	1	12	
ofav28365	0	0	0	0	0	0	0	3	0	0	0	
ofav28375	0	0	5	0	0	0	0	1	0	0	3	
ofav28390	3	10	119	0	0	0	0	131	1	5	74	
ofav28393	0	0	10	0	0	0	0	5	0	2	4	
ofav28395	0	0	2	0	0	0	0	2	0	0	0	
ofav28396	0	0	1	0	0	0	0	0	0	0	1	
ofav28408	0	0	1	0	0	0	0	3	0	0	8	
ofav2841	0	0	0	0	0	0	0	0	0	0	1	
ofav28411	0	1	33	0	0	0	0	20	0	1	33	
ofav28414	0	0	4	0	0	0	0	1	0	0	3	
ofav28415	0	0	1	0	0	0	0	0	0	0	1	
ofav28416	0	0	1	0	0	0	0	0	0	0	0	
ofav28417	0	0	2	0	0	0	0	0	0	0	1	
ofav28419	0	0	4	0	0	0	0	0	0	0	0	
ofav28423	1	0	50	0	0	0	0	75	0	8	68	
ofav28434	0	0	5	0	0	0	0	2	0	0	6	
ofav28437	0	0	17	0	0	0	0	13	0	0	18	
ofav28439	4	0	23	0	1	0	0	41	0	4	41	
ofav28442	17	0	76	0	0	0	0	71	0	2	188	
ofav28447	0	0	8	0	0	0	0	0	0	0	2	
ofav28454	0	1	0	0	0	0	0	2	0	0	5	
ofav28459	0	0	19	0	0	0	0	13	1	0	18	
ofav28463	0	0	4	0	0	0	0	3	0	0	16	
ofav28465	0	0	0	0	0	0	0	2	0	0	0	
ofav28476	1	1	29	0	0	0	0	36	0	4	25	
ofav28477	0	0	0	0	0	0	0	0	0	0	1	
ofav28479	0	0	10	0	0	0	0	8	0	0	8	
ofav28485	0	0	7	0	0	0	0	2	0	0	2	
ofav28489	0	0	2	0	0	0	0	4	0	1	10	
ofav28490	3	1	162	0	0	0	0	229	1	10	384	
ofav285	0	0	4	0	0	0	0	3	0	0	3	
ofav28502	1	0	25	0	0	0	0	51	0	7	90	
ofav2851	0	0	6	0	0	0	0	5	0	0	7	
ofav28520	0	0	8	0	0	0	0	6	0	1	17	
ofav28522	1	0	23	0	0	0	0	21	0	0	44	
ofav28527	0	0	1	0	0	0	0	2	0	0	0	
ofav28529	0	0	1	0	0	0	0	1	0	0	1	
ofav28532	0	0	17	0	0	0	0	3	0	3	11	
ofav28536	0	0	6	0	0	0	0	3	0	0	15	
ofav28539	0	0	15	0	0	0	0	4	0	0	20	
ofav2854	0	0	0	0	0	0	0	0	0	0	1	
ofav28540	0	0	11	0	0	0	0	12	0	0	11	
ofav28548	28	1	66	0	0	1	0	147	3	11	61	
ofav28554	4	0	29	0	1	0	0	44	0	0	59	
ofav28556	0	0	5	0	0	0	0	3	0	0	3	
ofav28558	40	1	282	0	0	0	0	226	0	1	281	
ofav28561	2	6	88	0	0	0	0	108	0	1	80	
ofav28564	8	2	74	0	0	0	0	115	0	0	147	
ofav28572	0	0	1	0	0	0	0	2	0	0	1	
ofav28594	0	0	0	0	0	0	0	0	0	0	3	
ofav28605	0	0	6	0	0	0	0	1	0	0	3	
ofav2861	2	0	1	0	0	0	0	3	0	0	4	
ofav28611	0	0	15	0	0	0	0	24	0	0	25	
ofav28612	0	4	37	0	0	0	0	38	0	0	35	
ofav28619	0	0	1	0	0	0	0	0	0	0	0	
ofav28630	0	0	5	0	0	0	0	1	0	0	1	
ofav28631	3	1	54	0	0	0	0	27	0	0	60	
ofav28641	2	2	36	0	0	0	0	28	0	2	60	
ofav28644	2	0	22	0	0	0	0	36	0	1	36	
ofav28645	0	2	22	0	0	0	0	34	0	0	24	
ofav28646	0	0	5	0	0	0	0	8	0	0	0	
ofav28655	0	0	1	0	0	0	0	1	0	0	0	
ofav28657	1	4	44	0	0	0	0	30	0	2	56	
ofav28660	0	0	81	0	0	0	0	114	0	0	93	
ofav28661	0	0	3	0	0	0	0	0	0	0	0	
ofav28662	1	1	32	0	0	0	0	24	0	3	29	
ofav28668	0	0	1	0	0	0	0	1	0	0	1	
ofav28674	0	0	1	0	0	0	0	3	0	1	0	
ofav28678	1	3	22	2	0	1	0	37	0	1	36	
ofav28682	11	1	15	1	0	0	0	44	0	0	27	
ofav28686	0	0	3	0	0	0	0	0	0	0	4	
ofav28687	0	0	15	0	0	0	0	32	0	0	15	
ofav28689	1	4	8	0	0	0	0	12	0	0	11	
ofav28692	0	0	4	0	0	0	0	0	0	0	0	
ofav28700	1	0	43	0	0	0	0	53	0	2	73	
ofav28729	0	0	1	0	0	0	0	7	0	0	0	
ofav28734	0	0	0	0	0	0	0	1	0	0	0	
ofav28739	0	0	4	0	0	0	0	7	0	0	3	
ofav28749	0	0	0	0	0	0	0	0	0	0	4	
ofav28753	0	0	19	0	0	0	0	7	0	0	32	
ofav28756	0	0	1	0	0	0	0	7	0	0	6	
ofav28761	1	0	2	0	0	0	0	2	0	0	1	
ofav28767	0	0	2	0	0	0	0	2	0	0	0	
ofav28770	0	0	9	0	0	0	0	3	0	2	3	
ofav28778	0	0	29	0	0	0	0	15	0	0	15	
ofav28779	0	0	1	0	0	0	0	0	0	0	0	
ofav28782	0	0	1	0	0	0	0	1	0	0	0	
ofav28785	0	0	35	0	0	0	0	12	0	0	30	
ofav28786	0	0	0	0	0	0	0	0	0	0	1	
ofav28811	0	0	2	0	0	0	0	4	0	2	5	
ofav28819	0	0	3	0	0	0	0	1	0	0	0	
ofav2882	0	0	1	0	0	0	0	0	0	0	0	
ofav28820	0	0	26	0	0	0	0	22	0	0	35	
ofav28824	8	1	70	0	0	1	0	38	0	1	33	
ofav28832	0	1	8	0	0	0	0	3	0	0	7	
ofav28833	0	0	3	0	0	0	0	2	0	0	6	
ofav28834	11	1	36	0	0	0	0	103	0	4	141	
ofav28842	10	2	25	0	0	0	0	15	0	0	27	
ofav28843	1	0	11	0	0	0	0	15	0	0	17	
ofav28846	0	0	3	0	0	0	0	2	0	0	7	
ofav28847	8	0	6	0	0	0	0	5	0	0	2	
ofav28852	0	0	10	0	0	0	0	8	0	1	14	
ofav28865	0	0	3	0	0	0	0	2	0	0	1	
ofav28871	2	2	20	0	0	0	0	17	0	0	20	
ofav28875	0	0	3	0	0	0	0	1	0	0	2	
ofav28879	0	0	0	0	0	0	0	1	0	0	1	
ofav28893	0	0	2	0	0	0	0	1	0	0	2	
ofav28915	0	0	3	0	0	0	0	0	0	1	1	
ofav28926	0	2	16	0	0	0	0	5	0	0	4	
ofav28944	5	1	61	0	0	0	0	50	1	3	77	
ofav28947	0	0	2	0	0	0	0	0	0	0	3	
ofav28949	20	1	237	0	0	0	0	182	0	9	202	
ofav28950	0	1	39	0	0	0	0	52	0	5	47	
ofav28956	1	1	50	0	0	0	0	28	0	0	58	
ofav28960	0	0	2	0	0	0	0	0	0	0	0	
ofav28964	0	0	18	0	0	0	0	16	0	1	24	
ofav2897	2	0	0	0	0	0	0	2	0	0	4	
ofav28970	0	2	22	0	0	0	0	38	0	0	34	
ofav28972	0	0	6	0	0	0	0	7	0	0	8	
ofav28973	0	0	0	0	0	0	0	4	0	0	2	
ofav28981	0	1	17	0	0	0	0	23	0	0	42	
ofav28993	0	0	0	0	0	0	0	5	0	0	3	
ofav2900	0	0	1	0	0	0	0	0	0	0	0	
ofav29015	0	0	17	0	0	0	0	2	0	1	15	
ofav29021	7	0	41	0	0	0	0	56	0	4	66	
ofav29026	1	0	0	0	0	0	0	0	0	0	0	
ofav29027	0	0	26	0	0	0	0	13	0	0	18	
ofav29032	7	0	96	0	0	0	0	135	0	3	173	
ofav29034	5	0	70	0	0	0	0	77	0	2	95	
ofav29036	3	0	36	0	0	0	0	20	0	0	28	
ofav29048	0	0	1	0	0	0	0	2	0	0	2	
ofav29055	3	0	13	0	0	0	0	29	0	0	10	
ofav29060	1	0	3	0	0	0	0	1	0	0	2	
ofav29065	1	0	65	0	0	0	0	34	0	2	34	
ofav29069	0	0	0	0	0	0	0	1	0	0	0	
ofav29081	0	1	8	0	0	0	0	22	0	1	19	
ofav29083	0	0	3	0	0	0	0	1	0	0	1	
ofav29085	0	0	1	0	0	0	0	0	0	0	2	
ofav29092	1	0	19	0	0	0	0	5	0	0	9	
ofav29094	3	1	50	0	0	0	0	38	0	1	47	
ofav29111	0	0	10	0	0	0	0	18	0	0	58	
ofav29112	0	0	12	0	0	0	0	1	0	2	6	
ofav29118	1	0	12	0	0	0	0	14	0	1	28	
ofav29124	0	0	24	0	0	0	0	22	0	0	15	
ofav29128	0	0	0	0	0	0	0	0	0	0	1	
ofav29129	0	0	0	0	0	0	0	1	0	0	0	
ofav29134	0	0	19	0	0	0	0	26	0	3	24	
ofav29141	2	0	42	0	0	0	0	48	0	1	49	
ofav29142	0	0	16	0	0	0	0	19	0	0	32	
ofav29153	1	1	122	0	0	1	0	99	1	2	144	
ofav29158	9	0	13	0	0	0	0	10	0	0	15	
ofav29160	3	0	50	0	0	0	0	41	0	0	69	
ofav2917	1	0	19	0	0	0	0	10	0	0	18	
ofav29172	0	0	12	0	0	0	0	19	0	0	12	
ofav29177	0	1	5	0	0	0	0	4	1	0	0	
ofav29179	0	1	0	0	0	0	0	5	0	0	1	
ofav29193	0	0	7	0	0	0	0	14	0	0	15	
ofav29203	0	0	4	0	0	0	0	0	0	0	1	
ofav29215	0	0	1	0	0	0	0	0	0	0	0	
ofav29230	0	0	2	0	0	0	0	0	0	0	0	
ofav29236	0	0	6	0	0	0	0	1	0	0	3	
ofav29244	0	0	1	0	0	0	0	0	0	0	0	
ofav29250	0	0	3	0	0	0	0	0	0	0	1	
ofav29265	5	1	33	0	0	0	0	17	0	0	32	
ofav29270	10	0	81	0	0	0	0	81	0	2	104	
ofav29276	0	0	28	0	0	0	0	2	0	0	12	
ofav29286	0	0	6	0	0	0	0	11	0	0	17	
ofav29298	0	0	3	0	0	0	0	1	0	0	3	
ofav29306	4	0	13	0	0	0	0	29	0	1	34	
ofav29308	0	0	31	0	0	0	0	29	0	0	25	
ofav29310	3	1	41	0	0	0	0	39	0	2	70	
ofav29315	0	0	1	0	0	0	0	5	0	0	0	
ofav29317	0	2	2	0	0	0	0	5	0	0	6	
ofav29326	11	0	10	0	0	0	0	10	0	0	10	
ofav29327	0	1	21	0	0	0	0	20	0	0	24	
ofav29333	0	0	42	0	0	0	0	32	0	2	38	
ofav29334	0	1	26	0	0	0	0	5	0	0	34	
ofav29352	0	0	3	0	0	0	0	6	0	0	8	
ofav29356	0	0	2	0	0	0	0	4	0	0	6	
ofav29367	0	0	26	0	0	0	0	10	0	0	16	
ofav29370	0	0	4	0	0	0	0	4	0	0	7	
ofav29372	0	0	2	0	0	0	0	5	0	0	1	
ofav29375	0	0	6	0	0	0	0	6	0	0	12	
ofav29377	11	2	297	0	0	1	0	323	1	15	227	
ofav29379	0	1	37	0	0	0	0	41	0	0	73	
ofav29380	5	25	191	0	0	0	0	207	1	5	115	
ofav29381	0	0	4	0	0	0	0	1	0	0	1	
